"accession_name","index","selected","DM_gravity","yield_ha","plant_type","betacarotenoid_nirs","germination_perc","WAB_30min_10mon"
"CG1141-1_is_Costena",13.870970749622,TRUE,35.35,23.76,1.78,1.01,95.23,12.64
"SMB2446-2_is_Caiseli",12.7976023218443,TRUE,36.59,24.44,1.91,1.22,89.9,10.97
"COL2215_is_Venezolana",11.0993594805894,TRUE,36.24,19.64,3.08,0.64,79.89,15.13
"TAI8_is_TAI",11.0566272250887,TRUE,34.13,31.03,2.25,1.07,85.69,4.99
"CM4919-1_is_Veronica",10.866969103107,TRUE,34.08,25.95,2.08,1.27,94.97,3.83
"GMX426-5",0.915816116677818,TRUE,30.92,16.45,2.29,4.36,69.61,7.01
"SMY008-33",-0.103973048825998,TRUE,31.86,14.35,2.65,4.07,65.04,6.72
"SMX4952-5",-1.90896173810919,TRUE,29.82,17.15,2.74,8.91,74.63,6.54
"SMY536-44",-3.53492037726513,TRUE,28,16.35,2.7,5,62.99,2.23
"SMY891-13",-3.97254553385742,TRUE,28.84,15.92,3.28,6.2,62.3,3.58
"SMY963-25",-4.01251150873624,TRUE,31.81,18.45,3.2,8.16,66.3,-0.02
"GMX1365-2",-4.23058056326258,FALSE,29.68,15.54,3.22,7.55,68.12,1.81
"GMY486-11",-5.00065440032715,FALSE,29.34,12.66,3.12,8.1,66.27,4.62
"SMX850-8",-5.07018372262474,FALSE,29.88,14.76,2.34,8.6,66.84,2.58
"GMX1319-3",-6.35554751987142,FALSE,30.92,12.03,2.35,9.54,65.69,2.61
"SMY4569-17",-6.43133575882205,FALSE,27.41,16.74,2.65,8.62,66.5,-0.14
"GMX1781-1",-8.15241826922895,FALSE,30.42,10.67,2.25,8.47,58.1,0.82
"SMX564-6",-11.8337125559985,FALSE,29.32,8.11,2.76,8.83,44.66,1.8
