"accession_name","index","selected","DM_gravity","yield_ha","plant_type","branch_angle","branch_number","carotenoid1_8","CBB_3mon","DM_yield_ha","germinated_number_plot","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","lodging1_3_6mon","root_constriction1_3","root_length1_3","root_number_commercial","root_peduncle1_3","root_rot_number","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5"
"SM3464-29",55.4358568459825,TRUE,33.42,39.62,1.59,40.35,2.29,1.02,1.1,13.58,8.98,89.84,228.38,141.56,30.33,1.13,1.02,1.18,2.63,39.16,1.8,0.59,2.57,2.8,1.53,24.46,1.03,4.22
"SM2775-4_is_Bellotti",52.6992747585501,TRUE,35.83,32.65,1.6,40.77,1.84,1.33,1.04,12.16,8.92,89.16,236.76,98.79,28.71,1.17,1,1.05,2.62,32.85,1.35,1.03,3,3,1.58,20.55,1.03,4.19
"SM1411-5_is_Sinuana",44.7887629606169,TRUE,33.65,34.62,2.16,41.11,3.16,1.12,1.06,12.08,9,89.96,242.59,78.56,23.97,1.14,1.03,1.18,2.63,32.31,1.57,0.5,2.8,3.02,1.8,21.11,1.05,4.31
"GM9108-5",43.5464083340907,TRUE,35.49,29.93,2.17,43.53,0.85,1.96,1.14,10.88,8.13,81.25,229.28,157.01,32.79,1.37,1.02,1.12,2.63,26.63,1.17,0.68,2.78,2.83,1.72,18.39,1.07,4.14
"GM9124-12",43.315393157554,TRUE,36.94,25.88,2.02,44.82,1.43,1.43,1.06,9.96,9.32,93.2,227.72,157.47,27.22,1.12,1.01,1.16,2.64,24.6,1.28,1.08,2.76,3.02,2.21,16.12,1.31,4.05
"SM2792-31_Melua31",41.0591243531665,TRUE,33.05,32.41,2.03,43.47,2.37,1.21,1.05,11.16,8.71,87.11,240.63,132.3,25.57,1.13,1.02,1.15,2.63,31.07,1.57,0.61,2.86,3.02,1.68,20.23,1.19,4.2
"SM1427-1",39.9512696223759,TRUE,33.87,32.17,2.43,43.47,0.89,1.52,1.21,11.23,9.24,92.37,235.96,153.14,32.7,1.39,1.01,1.2,2.53,34.89,1.59,0.99,2.56,3,2.01,20.04,1.03,4.17
"GM8873-2",39.8520289736288,TRUE,33.73,28.4,1.73,NA,1.55,1.38,NA,10.17,7.81,78.08,254.96,182.17,29.01,1.25,NA,1.09,2.74,24.25,2.07,0.55,2.75,3,1.88,17.56,1.28,4.05
"GM8871-26",39.6563305554167,TRUE,36.3,23.52,1.84,NA,0.07,1.68,1.04,8.69,9.4,93.96,220.64,217.4,27.64,1.23,1.01,1.18,2.48,24.62,1.27,0.9,2.54,3,2.28,14.5,1.03,3.91
"GM8868-85",39.0342618100429,TRUE,35.9,23.73,1.81,43.24,0.72,1.23,1.05,8.92,8.4,83.97,232.09,186.19,32.14,1.18,1.01,1.08,2.67,25.75,1.63,0.61,2.92,3,2.2,14.57,0.97,3.99
"SM1511-6",38.9318682705356,TRUE,33.86,32.53,2.62,43.17,1.82,1.38,1.19,11.44,9.33,93.26,238.66,114.29,30.95,1.42,1.02,1.2,2.4,31.76,1.51,0.59,2.66,3.01,1.93,20.25,1.08,4.09
"CM9962-27",38.8088076872051,TRUE,32.5,32.03,2.05,42.27,0.75,2.97,1.25,10.76,7.54,75.36,247.86,221.13,38.88,1.34,1.01,1.14,2.65,25.46,1.18,0.63,2.67,1.12,1.8,19.75,1,4.23
"TAI8_is_TAI",38.116229487288,TRUE,32.68,30.18,1.88,39,2.16,3.1,1.09,10.1,8.55,85.48,209.51,115.33,24.62,1.28,1,1.22,2.48,29.5,1.17,0.84,2.45,1.02,1.75,18.69,1.07,3.95
"CM9912-167",38.0016134832064,TRUE,33.36,29.76,2.07,42.48,0.42,2.83,1.07,10.44,8.36,83.62,245.5,248.24,40.03,1.15,1.02,1.13,2.62,26.51,1.17,0.48,2.66,1.26,1.7,18.57,1.04,4.15
"GM1406-13",35.4913488033588,TRUE,33.89,29.33,2.51,NA,1.28,1.56,NA,10.88,8.21,82.1,241.41,185.26,29.6,1.65,NA,1.06,2.48,22.16,1.19,0.74,2.66,3,1.69,18.33,1.03,4.05
"CM9460-40",34.3276820324891,TRUE,32.24,28.79,1.96,45.08,2.07,2.23,1.05,9.44,8.1,80.97,263.89,126.45,28.09,1.38,1.02,1.35,2.66,27.53,1.53,0.69,2.93,3.01,1.76,17.73,1.12,4.38
"SMB2446-2_is_Caiseli",34.0691951127861,TRUE,35.25,19.07,1.39,NA,0,1.8,1.04,6.83,7.68,76.8,231.85,232.39,33.8,1.11,1,1.11,2.62,19.33,1.44,1.13,2.78,3,2.26,11.95,1.02,3.78
"CM3555-6_is_Sucrena",33.9431178547641,TRUE,31.58,29.26,1.85,42.65,0.93,1.69,1.06,9.37,6.82,68.17,224.64,193.31,30.07,1.25,1.02,1.28,2.64,29.02,1.57,1.19,2.93,2.26,1.94,18.12,1.03,3.95
"SM3134-73",32.3271580597214,TRUE,34.57,23.55,2.15,40.55,1.17,3.26,1.05,8.51,9.31,93.07,201.35,132.82,29.46,1.1,1.01,1.45,2.51,25.98,1.22,0.59,2.51,1.02,2.17,14.66,0.96,3.86
"CM4919-1_is_Veronica",32.3183550384535,TRUE,32.88,26.9,2.12,43.51,0.43,4.29,1.05,9.19,8.96,89.55,209.15,170.88,34.16,1.11,1,1.21,2.68,27.65,1.15,0.58,2.97,3.01,1.97,16.77,1.07,3.97
"SM3559-11",31.6318186632192,TRUE,35.62,21.82,2.32,NA,0.25,NA,1.06,8.13,6.08,60.78,237.32,227.85,34.56,1.25,1.02,NA,2.49,24.34,1.31,0.58,2.79,1.1,2.41,13.56,1.08,3.86
"SM1759-29",31.4598956644151,TRUE,34.24,23.15,2.07,NA,0.33,NA,1.12,8.34,6.45,64.53,228.25,210.11,34.22,1.29,1.02,NA,2.62,22.84,1.22,0.62,2.76,3.01,2.12,13.92,1.1,3.73
"SM3640-20",31.0362300985938,TRUE,34.26,25.25,2.5,NA,2.99,2.04,NA,9.16,6.44,64.45,224.76,116.97,21.53,1.2,NA,1.05,2.45,21.72,1.26,0.59,2.53,3.02,1.85,15.74,1.04,4.15
"SM2828-28",31.0185633825917,TRUE,35.75,24.92,2.99,44.37,2.48,1.11,1.06,9.18,8.96,89.63,194.8,69.14,26.54,1.08,1.02,1.03,2.6,26.11,1.53,0.44,2.94,3.01,1.96,15.65,1.01,3.65
"SM1433-4",30.9749548860211,TRUE,33.7,29.11,2.98,44.01,2.77,3.63,1.06,10.05,9.35,93.54,219.72,81.7,24.16,1.45,1.02,1.53,2.64,28.93,1.48,0.51,2.89,1.19,2.07,17.93,0.97,4.21
"GM579-13",30.6907309184794,TRUE,34.12,27.57,2.9,41.91,3.18,NA,1.06,9.9,9.02,90.16,200.5,67.57,24.4,1.25,1.01,NA,2.64,26.23,1.42,0.55,2.89,1.43,1.86,16.62,1.56,3.99
"SM3106-14",30.5882177901253,TRUE,34.09,23.91,2.26,43.88,1.49,2.43,1.06,8.39,6.42,64.25,210.91,107.09,27.66,1.18,1.01,1.67,2.57,21.24,1.26,0.81,2.92,1.1,2.04,14.98,1.51,3.8
"GM9125-5",30.2584399719066,TRUE,35.87,22.12,2.64,44.16,2.04,2.02,1.09,8.16,8.36,83.57,244.5,162.41,32.2,1.14,1.02,1.15,2.58,21.23,1.91,0.62,2.91,1.12,2.24,13.73,1.09,3.92
"SM1669-7",30.0870917161665,TRUE,34.45,21.71,2.07,NA,0.34,NA,1.05,7.8,7.9,79.04,224.33,208.14,34.67,1.28,1.02,NA,2.59,24.56,1.23,0.68,2.78,3.01,2.13,12.24,1.07,3.88
